business_postal_code,population ,avg_income,inspection_id,inspection_date,inspection_score,risk_category,Neighborhoods,Current Police Districts
94105,2058,88976,4598_20170124,January,90.0,Moderate Risk,108.0,1.0
94105,2058,88976,3409_20170523,May,76.0,Moderate Risk,108.0,1.0
94105,2058,88976,60475_20190304,March,76.0,High Risk,108.0,1.0
94105,2058,88976,39052_20190320,March,92.0,Low Risk,108.0,1.0
94105,2058,88976,409_20170627,June,83.0,Moderate Risk,32.0,1.0
94105,2058,88976,39708_20190627,June,83.0,Moderate Risk,108.0,1.0
94105,2058,88976,3200_20190227,February,81.0,Moderate Risk,108.0,6.0
94105,2058,88976,2996_20180425,April,85.0,Low Risk,30.0,1.0
94105,2058,88976,1939_20180503,May,98.0,Low Risk,32.0,6.0
94105,2058,88976,3200_20190227,February,81.0,Low Risk,108.0,6.0
94105,2058,88976,39667_20170308,March,83.0,High Risk,108.0,6.0
94105,2058,88976,38611_20181211,December,86.0,Low Risk,32.0,1.0
94105,2058,88976,62896_20171018,October,78.0,Moderate Risk,32.0,1.0
94105,2058,88976,16784_20190325,March,89.0,High Risk,108.0,1.0
94105,2058,88976,33945_20170120,January,90.0,Moderate Risk,108.0,6.0
94105,2058,88976,2135_20180222,February,90.0,Moderate Risk,108.0,1.0
94105,2058,88976,15738_20190102,January,75.0,Moderate Risk,32.0,1.0
94105,2058,88976,39824_20170330,March,90.0,Moderate Risk,32.0,1.0
94105,2058,88976,3409_20190128,January,77.0,Moderate Risk,108.0,1.0
94105,2058,88976,62896_20190213,February,81.0,Moderate Risk,32.0,1.0
94105,2058,88976,2818_20170724,July,98.0,Low Risk,108.0,6.0
94105,2058,88976,61643_20190103,January,87.0,Low Risk,108.0,6.0
94105,2058,88976,1673_20190417,April,82.0,Low Risk,108.0,1.0
94105,2058,88976,1085_20161209,December,92.0,Low Risk,108.0,6.0
94105,2058,88976,34434_20180109,January,85.0,Low Risk,32.0,1.0
94105,2058,88976,4746_20190708,July,82.0,Low Risk,108.0,1.0
94105,2058,88976,1269_20190716,July,94.0,Low Risk,108.0,1.0
94105,2058,88976,1649_20171129,November,88.0,Low Risk,32.0,1.0
94105,2058,88976,17689_20170905,September,74.0,Low Risk,32.0,1.0
94105,2058,88976,13623_20190110,January,83.0,Low Risk,32.0,1.0
94105,2058,88976,2144_20190417,April,92.0,Moderate Risk,32.0,6.0
94105,2058,88976,38201_20190305,March,91.0,High Risk,32.0,1.0
94105,2058,88976,61602_20190311,March,94.0,Low Risk,32.0,1.0
94105,2058,88976,11304_20190709,July,88.0,Moderate Risk,30.0,1.0
94105,2058,88976,4598_20190515,May,85.0,Moderate Risk,108.0,1.0
94105,2058,88976,36205_20190403,April,86.0,Moderate Risk,32.0,1.0
94105,2058,88976,34434_20180109,January,85.0,High Risk,32.0,1.0
94105,2058,88976,3728_20190916,September,94.0,Low Risk,32.0,1.0
94105,2058,88976,2135_20190515,May,92.0,Moderate Risk,108.0,1.0
94105,2058,88976,34749_20181016,October,90.0,Moderate Risk,32.0,1.0
94105,2058,88976,22304_20190205,February,86.0,Moderate Risk,108.0,6.0
94105,2058,88976,2135_20170221,February,84.0,Low Risk,108.0,1.0
94105,2058,88976,64454_20161214,December,94.0,Moderate Risk,108.0,6.0
94105,2058,88976,18616_20190305,March,87.0,Low Risk,32.0,1.0
